key	en-US	pt-BR
::DPrefabLayoutsRefresh	"Reload all prefabs default layouts stored at layout folders.\n\nThe loading process will consider the name of the file to find which prefab it belongs to.\n\nOnly files with extension <*.wedefault.xml> will be loaded.\n\nThe files might be in subfolders. If more than one file is found for the same prefab, they will be merged in game."	"Recarrega todos os layouts padrão de prefabs guardados na pasta de layouts.\n\nO processo de carga irá considerar o nome do arquivo para determinar de qual prefab do jogo ele deverá ser relacionado.\n\nApenas arquivos com a extensão <*.wedefault.xml> serão carregados.\n\nOs arquivos podem estar guardados em subpastas. Caso mais de um arquivo seja encontrado para o mesmo prefab, eles serão ajuntados dentro do jogo."
::DStartTextureSizeFont	This will be the size a font will use by default when creating their texture to store the glyphs. Only raise this value if you experiencing fonts with letter mapping issues.	Esse será o tamanho de textura utilizado incialmente para que as fontes desenhem seus glifos. Apenas aumente esse valor caso esteja tendo textos com mapeamento de letras incorretos.
::DToggleLockCameraRotation	"Toggle rotating the camera along with text in the current editing plane, only applicable when camera mode is fixed to the text."	"Alterana a trava de rotação da câmera fixa no plano atualmente em edição, apenas aplicável quando o modo de câmera fixa está ativo."
::DToolIncreaseMovementStrenght	Make each pixel the mouse moves while moving or rotating a text to change  a <bigger> step.	Faz com que cada pixel que o mouse move enquanto movendo ou rotacionando o texto afete em quantidade <maior>.
::DToolReduceMovementStrenght	Make each pixel the mouse moves while moving or rotating a text to change a <smaller> step.	Faz com que cada pixel que o mouse move enquanto movendo ou rotacionando o texto afete em quantidade <menor>.
::GFont	Fonts	Tipografia
::GFormatting	Formatting	Formatação
::GItemEditing	Item editing	Edição de item
::GSprites	Sprites	Imagens
::GToolControls	Tools controls	Controles da ferramenta
::GViewPerspective	View & Perspective	Visão e perspectiva
::GLayoutDefaults	Default Layouts	Layouts padrão
::LActionCycleAxisLock	Cycle through axis lock mode	Trocar modo de trava de eixo
::LActionMoveDown	Move down	Mover abaixo
::LActionMoveLeft	Move left	Mover para a esquerda
::LActionMoveRight	Move right	Mover para a direita
::LActionMoveUp	Move up	Mover acima
::LActionNextText	Select next text	Selecionar próximo texto
::LActionPerspectiveXY	Front View (XY)	Visão frontal (XY)
::LActionPerspectiveXZ	Top view (XZ)	Visão superior (XZ)
::LActionPerspectiveZY	Right view (ZY)	Visão lateral direita (ZY)
::LActionPreviousText	Select previous text	Selecionar texto anterior
::LActionRotateClockwise	Rotate clockwise	Rotacionar sentido horário
::LActionRotateCounterClockwise	Rotate counter-clockwise	Rotacionar sentido anti-horário
::LAlternateFixedCamera	Alternate Fixed Camera	Alternar câmera fixa
::LEnableTool	Enable WE Tool	Habilitar ferramenta do WE
::LFontQuality	Glyphs quality	Qualidade dos glifos
::LFontsFolder	Go to fonts files folder	Ir à pasta com arquivos de fonte
::LFontsFolderRefresh	Refresh loaded fonts	Recarregar fontes
::LFramesCheckUpdate	Text update interval	Intervalo de atualização de textos
::LLocaleDateFormat	Date formatting	Formatação de data
::LLocaleFomatting	Locale used when formatting	Localização usada ao formatar
::LLocaleName	Locale name	Nome do formato
::LLocaleNumberFormat	Number formatting	Formatação de números
::LMouseToolMove	Click to move button	Botão para movimento de texto
::LMouseToolRotate	Click to rotate button	Botão para rotação de texto
::LSpritesFolder	Go to sprites files folder	Ir à pasta com arquivos de imagens
::LSpritesRefresh	Refresh all sprites	Recarregar todas as imagens
::LModulesSublayoutsRefresh	Reload modules subtemplates	Recarregar sublayouts dos módulos
::LPrefabLayoutsRefresh	Refresh loaded default prefab layouts	Recarregar layouts padrão de prefabs
::LStartTextureSizeFont	Initial texture size for each font	Tamanho inicial da textura de fonte
::LToggleLockCameraRotation	Toggle lock fixed camera rotation	Alternar rotação travada da câmera fixa
::LToolIncreaseMovementStrenght	Increase precision step	Aumentar passo de precisão
::LToolReduceMovementStrenght	Decrease precision step	Reduzir passo de precisão
::M	Write Everywhere	Write Everywhere
::TKeybinding	Keybinding	Teclas
::TSourcesTab	Sources	Fontes
K45::WE.vuio[appearenceSettings.appearenceTitle]	Appearance Settings	Configurações de aparência
K45::WE.vuio[appearenceSettings.CoatStrength]	Coat Strength	Envernizamento
K45::WE.vuio[appearenceSettings.emissiveColor]	Emission Color	Cor Emissiva
K45::WE.vuio[appearenceSettings.EmissiveExposureWeight]	Emissive Exposure	Exposição Emissiva
K45::WE.vuio[appearenceSettings.EmissiveIntensity]	Emissive Intensity	Intensidade Emissiva
K45::WE.vuio[appearenceSettings.mainColor]	Main Color	Cor Principal
K45::WE.vuio[appearenceSettings.Metallic]	Metallic	Metálico
K45::WE.vuio[appearenceSettings.Smoothness]	Smoothness	Suavidade
K45::WE.vuio[cancelBtn]	Cancel	Cancelar
K45::WE.vuio[cityFontsTab.addFont]	Add Font	Adicionar fonte
K45::WE.vuio[cityFontsTab.addFontDialog.errorLoadingFontMsg]	Path or file invalid. Aborting!	Caminho ou arquivo inválido. Abortando!
K45::WE.vuio[cityFontsTab.addFontDialog.text]	Select the font  to be imported	Selecione a fonte a ser importado
K45::WE.vuio[cityFontsTab.addFontDialog.title]	Import font	Importar fonte
K45::WE.vuio[cityFontsTab.confirmDeleteText]	Are you sure you want to delete this font from the city?\nThe layouts that use this font will be redefined to use the default font.	Tem certeza que deseja apagar esta fonte desta cidade?\nOs layouts que a utilizam serão redefinidos para a fonte padrão.
K45::WE.vuio[cityFontsTab.confirmOverrideOnRename]	A font with the same name already exists. Confirm override?	Uma fonte com este mesmo nome já existe. Sobrescrever?
K45::WE.vuio[cityFontsTab.delete]	Delete from city	Excluir da cidade
K45::WE.vuio[cityFontsTab.duplicate]	Duplicate	Duplicar
K45::WE.vuio[cityFontsTab.duplicateDialog.text]	Insert the name of the new font.\nIt must have alphanumeric characters and underscores only.	Insira o nome da nova fonte.\nO nome deve conter apenas caracteres alfanuméricos e underscores.
K45::WE.vuio[cityFontsTab.duplicateDialog.title]	Duplicate font	Duplicar fonte
K45::WE.vuio[cityFontsTab.rename]	Rename	Renomear
K45::WE.vuio[cityFontsTab.renameDialog.text]	"Insert the new name for this font. Notice the usages of the font won't be affected by its name changing.\nIt must have alphanumeric characters, spaces and underscores only."	"Insira o novo nome para esta fonte. Note que alterar o nome da fonte não irá alterar os locais onde ela é usada.\nO nome deve conter apenas caracteres alfanuméricos, espaços e underscores."
K45::WE.vuio[cityFontsTab.renameDialog.title]	Rename font	Renomear fonte
K45::WE.vuio[cityFontsTab.typeAboveToPreview]	Type a text at input above to preview this font	Digite um texto na caixa acima para visualizar esta fonte
K45::WE.vuio[cityLayoutsTab.addTemplateFromXml]	Add template from XML...	Adicionar template do XML...
K45::WE.vuio[cityLayoutsTab.addTemplateXmlDialog.errorLoadingFontMsg]	The file couldn't be loaded. Please check the file path and contents and try again.	O arquivo não pôde ser carregado. Confira o caminho informado e o conteúdo do arquivo e tente novamente.
K45::WE.vuio[cityLayoutsTab.addTemplateXmlDialog.text]	Select the layout file to be imported.	Selecione o arquivo de layout a ser importado.
K45::WE.vuio[cityLayoutsTab.addTemplateXmlDialog.title]	Add template from XML	Adicionar template do XML
K45::WE.vuio[cityLayoutsTab.confirmDeleteText]	Are you sure you want to delete this layout from the city?\n(It won't delete any layout saved into a file)	Tem certeza que deseja apagar este layout desta cidade?\n(Isso não apagará nenhum layout salvo em arquivos)
K45::WE.vuio[cityLayoutsTab.confirmOverrideOnRename]	A template with the same name already exists. Confirm override?	Um template com este mesmo nome já existe. Sobrescrever?
K45::WE.vuio[cityLayoutsTab.delete]	Delete from city	Excluir da cidade
K45::WE.vuio[cityLayoutsTab.duplicate]	Duplicate	Duplicar
K45::WE.vuio[cityLayoutsTab.duplicateDialog.text]	Insert the name of the new layout	Insira o nome do novo layout
K45::WE.vuio[cityLayoutsTab.duplicateDialog.title]	Duplicate layout	Duplicar layout
K45::WE.vuio[cityLayoutsTab.exportXml]	Export as XML	Exportar como XML
K45::WE.vuio[cityLayoutsTab.exportXml.back]	Back	Voltar
K45::WE.vuio[cityLayoutsTab.exportXml.goToFileFolder]	Go to exported files folder	Ir à pasta de arquivos exportados
K45::WE.vuio[cityLayoutsTab.exportXml.successMessage]	"Layout exported successfully as ""{name}"""	"Layout exportado com sucesso como ""{name}"""
K45::WE.vuio[cityLayoutsTab.exportXml.text]	"Insert the name of the file this template will be exported. If there's already a file with this name, a suffix wil be added to not overwrite existng"	"Insira o nome do arquivo que esse template será salvo. Caso já exista um arquivo com esse nome, um sufixo será adicionado ao nome do arquivo para não sobrescrevê-lo"
K45::WE.vuio[cityLayoutsTab.exportXml.title]	Export as XML	Exportar como XML
K45::WE.vuio[cityLayoutsTab.rename]	Rename	Renomear
K45::WE.vuio[cityLayoutsTab.renameDialog.text]	Insert the new name for this template	Insira o novo nome para este template
K45::WE.vuio[cityLayoutsTab.renameDialog.title]	Rename layout	Renomear Layout
K45::WE.vuio[cityLayoutsTab.usages]	Usages in templates instances	Usos em templates instanciados
K45::WE.vuio[formulaeEditor.addDialog.title]	Add new stage	Adicionar estágio
K45::WE.vuio[formulaeEditor.addDialog.tooltip_component]	Component: {0}	Componente: {0}
K45::WE.vuio[formulaeEditor.addDialog.tooltip_field]	Field: {1} (Type = {0})	Campo: {1} (Tipo = {0})
K45::WE.vuio[formulaeEditor.addDialog.tooltip_instanceMethod]	Instance method: {1}() (Return Type = {0})	Método de instância: {1}() (Tipo retornado = {0})
K45::WE.vuio[formulaeEditor.addDialog.tooltip_property]	Property: {1} (Type = {0})	Propriedade: {1} (Tipo = {0})
K45::WE.vuio[formulaeEditor.addDialog.tooltip_staticMethod]	Static method: {0}.{1}(<previous stage value>) : {2}	Método estático: {0}.{1}(<Valor do estágio anterior>) : {2}
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_0]	Game	Jogo
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_1]	Unity Engine	Unity Engine
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_2]	CoUI	CoUI
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_3]	System	Sistema
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_4]	Mod	Mod
K45::WE.vuio[formulaeEditor.addDialog.WEMemberSource_5]	<Unknown>	<Desconhecido>
K45::WE.vuio[formulaeEditor.addDialog.loading]	Loading data... Please wait	Carregando dados... Aguarde
K45::WE.vuio[formulaeEditor.addDialog.noWay]	There are no way to go from here!	Não há como continuar daqui!
K45::WE.vuio[formulaeEditor.addDialog.navigate]	Navigate through	Navegar
K45::WE.vuio[formulaeEditor.addDialog.runStatic]	Static method	Método estático
K45::WE.vuio[formulaeEditor.addDialog.pickAnyComponent]	Pick any component	Qualquer componente
K45::WE.vuio[formulaeEditor.addDialog.pickFromCurrent]	Component from current	Componente do atual
K45::WE.vuio[formulaeEditor.addDialog.arrayIndexingFieldLabel]	Index number	Número do índice
K45::WE.vuio[formulaeEditor.addDialog.arrayIndexing]	Array/List indexing	Indexação de lista/array
K45::WE.vuio[formulaeEditor.addStageEnd]	Add stage at end	Adicionar estágio no fim
K45::WE.vuio[formulaeEditor.descType.componentGetter]	Get component	Obter componente
K45::WE.vuio[formulaeEditor.descType.fieldGetter]	Load field	Carregar campo
K45::WE.vuio[formulaeEditor.descType.parameterlessInstanceMethodCall]	Call instance method	Método de instância
K45::WE.vuio[formulaeEditor.descType.propertyGetter]	Get property	Obter propriedade
K45::WE.vuio[formulaeEditor.descType.staticMethod]	Static method call	Método estático
K45::WE.vuio[formulaeEditor.descType.arrayIndexing]	Array/List indexing	Indexação de lista/array
K45::WE.vuio[formulaeEditor.editorFootnote]	Notice that you can also copy/edit/paste the formulae at content editor window.	Note que a fórmula também pode ser copiada/editada/colada na janela de edição de conteúdo.
K45::WE.vuio[formulaeEditor.finalPipelineAlwaysStringInfo]	The final text will always have type String	O texto final sempre será do tipo String
K45::WE.vuio[formulaeEditor.finalPipelineAlwaysColorInfo]	The final text will always have type Color	O texto final sempre será do tipo Color (cor)
K45::WE.vuio[formulaeEditor.finalPipelineAlwaysFloatInfo]	The final text will always have type Float	O texto final sempre será do tipo Float
K45::WE.vuio[formulaeEditor.implicitConversionWarningString]	Implicit conversion to String	Conversão implícita para String
K45::WE.vuio[formulaeEditor.implicitConversionWarningColor]	Implicit conversion to Color	Conversão implícita para Color
K45::WE.vuio[formulaeEditor.implicitConversionWarningFloat]	Implicit conversion to Float	Conversão implícita para Float
K45::WE.vuio[formulaeEditor.implicitConversionWarningColorFail]	Invalid color! It always be magenta (#FF00FF)	Cor inválida! Sempre será magenta (#FF00FF)
K45::WE.vuio[formulaeEditor.implicitConversionWarningFloatFail]	Invalid number! It always be Not a Number	Número inválido! Sempre irá retornar Not a Number (NaN)
K45::WE.vuio[formulaeEditor.removeLastStage]	Remove last stage	Remover último estágio
K45::WE.vuio[formulaeEditor.title]	Formulae stages	Estágios da fórmula
K45::WE.vuio[loadBtn]	Load	Carregar
K45::WE.vuio[mainUi.tab.CityAtlases]	City Atlases	Atlas salvos
K45::WE.vuio[mainUi.tab.CityFonts]	City Fonts	Tipografia
K45::WE.vuio[mainUi.tab.CityLayouts]	City Layouts	Layouts salvos
K45::WE.vuio[mainUi.tab.PrefabTemplatesReplacements]	Prefab Templates Setup	Conf. Templates de Prefabs
K45::WE.vuio[saveBtn]	Save	Salvar
K45::WE.vuio[shaderProperties.dynamicObjectsDecalFilter]	Decal filter for dynamic objects	Filtro de adesivo de objetos dinâmicos
K45::WE.vuio[shaderProperties.supportBuildingDecals]	Support building decals	Aceitar adesivos de prédios
K45::WE.vuio[shaderProperties.supportCreatureDecals]	Support creature decals	Aceitar adesivos de criaturas
K45::WE.vuio[shaderProperties.supportOtherDecals]	Support other (???) decals	Aceitar outros tipos de adesivos (???)
K45::WE.vuio[shaderProperties.supportRoadDecals]	Support road decals	Aceitar adesivos de estradas
K45::WE.vuio[shaderProperties.supportTerrainDecals]	Support terrain decals	Aceitar adesivos de terreno
K45::WE.vuio[shaderProperties.title]	Shader properties	Propriedades do Shader
K45::WE.vuio[template.loadXmlDialog.dialogText]	Select the layout file to be imported.	Selecione o arquivo de layout a ser importado.
K45::WE.vuio[template.loadXmlDialog.error.1]	The file couldn't be loaded. Please check the file path and contents and try again.	O arquivo não pôde ser carregado. Confira o caminho informado e o conteúdo do arquivo e tente novamente.
K45::WE.vuio[template.loadXmlDialog.title]	Load from XML	Carregar do XML
K45::WE.vuio[template.saveCityDialog.error.1]	This node couldn't be saved as city template due it have any child typed as Template. City templates must only be composed by Text and Image nodes.	Este nó não pôde ser salvo como template da cidade pois tem algum filho que é Marcador. Templates da cidade apenas podem ser compostos por nós de Texto e Imagem.
K45::WE.vuio[template.saveCityDialog.dialogText]	Insert the name this template will be saved. This is the name that will link placeholder items to this layout (set at item name field of the placeholder item)	Insira o nome que irá guardar esse template. Este nome será usado para corresponder itens de marcações com este layout (colocando-o como nome do item de marcação)
K45::WE.vuio[template.saveCityDialog.title]	Save as current city template	Salvar como template desta cidade
K45::WE.vuio[textHierarchyWindow.addEmptyChild]	Add empty as children	Adicionar item vazio como filho
K45::WE.vuio[textHierarchyWindow.addEmptyRoot]	Add empty at root	Adicionar item vazio na raiz
K45::WE.vuio[textHierarchyWindow.addEmptySibling]	Add empty as sibling	Adicionar item vazio como irmão
K45::WE.vuio[textHierarchyWindow.addItem]	Add node...	Adicionar item...
K45::WE.vuio[textHierarchyWindow.clearClipboard]	Clear clipboard	Limpar área de transferência
K45::WE.vuio[textHierarchyWindow.confirmOverrideCityTemplateQuestion]	There's already acity template with this name. Override?	Já existe um template com esse nome salvo nesta cidade. Sobrescrever?
K45::WE.vuio[textHierarchyWindow.copiedInfoSuffix]	TO BE COPIED	COPIANDO
K45::WE.vuio[textHierarchyWindow.copy]	Copy	Copiar
K45::WE.vuio[textHierarchyWindow.cut]	Cut	Recortar
K45::WE.vuio[textHierarchyWindow.cuttedInfoSuffix]	TO BE CUT	RECORTANDO
K45::WE.vuio[textHierarchyWindow.delete]	Delete item	Apagar item
K45::WE.vuio[textHierarchyWindow.exportLayoutAsDefault]	Export selected as prefab default layout	Exportar seleção como layout padrão do prefab
K45::WE.vuio[textHierarchyWindow.exportLayoutXml]	Export selected as xml..	Exportar seleção como xml...
K45::WE.vuio[textHierarchyWindow.exportOrSave]	Export/save...	Exportar/salvar...
K45::WE.vuio[textHierarchyWindow.importLayoutXml.asChild]	Import layout from xml as child...	Importar layout do xml como filho...
K45::WE.vuio[textHierarchyWindow.importLayoutXml.asSibling]	Import layout from xml as sibling...	Importar layout do xml como irmão...
K45::WE.vuio[textHierarchyWindow.importLayoutXml.toRoot]	Import layout from xml at root...	Importar layout do xml na raiz...
K45::WE.vuio[textHierarchyWindow.importOrLoad]	Import/load...	Importar/carregar...
K45::WE.vuio[textHierarchyWindow.loadFromCityTemplate.asChild]	Load from city template as child...	Carregar do template da cidade como filho...
K45::WE.vuio[textHierarchyWindow.loadFromCityTemplate.asSibling]	Load from city template as sibling...	Carregar do template da cidade como irmão...
K45::WE.vuio[textHierarchyWindow.loadFromCityTemplate.toRoot]	Load from city template at root...	Carregar do template da cidade na raiz...
K45::WE.vuio[textHierarchyWindow.pasteAsChildren]	...as child of current node	...como filho do nó atual
K45::WE.vuio[textHierarchyWindow.pasteAsSibling]	...as sibling of current node	...como irmão do nó atual
K45::WE.vuio[textHierarchyWindow.pasteAt]	Paste...	Colar...
K45::WE.vuio[textHierarchyWindow.pasteAtRoot]	...at element tree root	...na raiz da árvore de elementos
K45::WE.vuio[textHierarchyWindow.saveAsCityTemplate]	Save as current city template...	Salvar como template desta cidade...
K45::WE.vuio[textHierarchyWindow.title]	WE's components tree	Árvore de componentes do WE
K45::WE.vuio[textValueSettings.atlas]	Atlas	Atlas
K45::WE.vuio[textValueSettings.contentType]	Content Type	Tipo de conteúdo
K45::WE.vuio[textValueSettings.contentType.0]	Text	Texto
K45::WE.vuio[textValueSettings.contentType.1]	Image	Imagem
K45::WE.vuio[textValueSettings.contentType.2]	Placeholder	Marcação
K45::WE.vuio[textValueSettings.contentType.4]	White texture	Textura em branco
K45::WE.vuio[textValueSettings.fixedText]	Text	Texto
K45::WE.vuio[textValueSettings.fontFieldTitle]	Text font	Fonte tipográfica
K45::WE.vuio[textValueSettings.formulae]	Formulae	Fórmula
K45::WE.vuio[textValueSettings.focusInFormulaePanel]	Focus in formulae panel	Focar no painel de fórmula
K45::WE.vuio[textValueSettings.heightCm]	Base height (cm)	Altura base (cm)
K45::WE.vuio[textValueSettings.heightWidthCm]	Width x Height (cm)	Largura x Altura (cm)
K45::WE.vuio[textValueSettings.image]	Image	Imagem
K45::WE.vuio[textValueSettings.importNewFont]	Import font	Importar fonte
K45::WE.vuio[textValueSettings.maxWidth]	Max. text width (m)	Largura máxima (m)
K45::WE.vuio[textValueSettings.title]	Content	Conteúdo
K45::WE.vuio[textValueSettings.useAbsoluteSize]	Edit absolute size	Editar por tamanho absoluto
K45::WE.vuio[textValueSettings.useFormulae]	Toggle using formulae	Alternar uso de fórmula
K45::WE.vuio[textValueSettings.widthCm]	Width (cm)	Largura (cm)
K45::WE.vuio[textValueSettings.widthDistortion]	Horizontal distortion	Distorção horizontal
K45::WE.vuio[toolOption.actions]	Actions	Ações
K45::WE.vuio[toolOption.addText.tooltip]	Add text	Adicionar texto
K45::WE.vuio[toolOption.AppearenceBtn.tooltip]	Appearance settings	Configurações de aparência
K45::WE.vuio[toolOption.editingPlane]	Editing plane	Plano em edição
K45::WE.vuio[toolOption.editingPlane_XY.tooltip]	"Move in XY, rotate in Z (front)"	"Mover em XY, girar em Z (frente)"
K45::WE.vuio[toolOption.editingPlane_XZ.tooltip]	"Move in XZ, rotate in Y (top)"	"Mover em XZ, girar em Y (topo)"
K45::WE.vuio[toolOption.editingPlane_ZY.tooltip]	"Move in ZY, rotate in X (right)"	"Mover em ZY, girar em X (direita)"
K45::WE.vuio[toolOption.itemName]	Name	Nome
K45::WE.vuio[toolOption.itemNamePlaceholder]	City Layout Name	Nome do layout da cidade
K45::WE.vuio[toolOption.lockCamera.tooltip]	Lock camera to editing plane area and angle	Bloquear a câmera para editar a área e o ângulo do plano
K45::WE.vuio[toolOption.lockRotationView.tooltip]	Lock camera rotation when fixed	Travar rotação da câmera fixa
K45::WE.vuio[toolOption.mousePrecision]	Mouse precision	Precisão do mouse
K45::WE.vuio[toolOption.mousePrecision_down.tooltip]	Decrease the strenght of the mouse moves when editing the text position/rotation	Diminuir a força dos movimentos do mouse ao editar a posição/rotação do texto
K45::WE.vuio[toolOption.mousePrecision_up.tooltip]	Increment the strenght of the mouse moves when editing the text position/rotation	Aumentar a força dos movimentos do mouse ao editar a posição/rotação do texto
K45::WE.vuio[toolOption.moveMode.descriptionBoth]	Move in any direction	Mover em qualquer direção
K45::WE.vuio[toolOption.moveMode.descriptionHorizontal]	Move horizontally only	Movendo apenas horizontalmente
K45::WE.vuio[toolOption.moveMode.descriptionVertical]	Move vertically only	Movendo apenas verticalmente
K45::WE.vuio[toolOption.moveMode.tooltip]	Toggle between modes to lock/unlock a axis in current plane. Currently:	Alterne entre os modos para bloquear/desbloquear um eixo no plano atual. Atualmente:
K45::WE.vuio[toolOption.picker.tooltip]	Pick another object	Escolher outro objeto
K45::WE.vuio[toolOption.decalProjectionCube.tooltip]	Toggle decal projection cube	Alternar cubo de projeção do decal
K45::WE.vuio[toolOption.position]	Position	Posição
